strength,emotional_score,coherence_score,response_length,model,emotion,method
2.0,9.0,7.67,68.0,Llama-3.1-8B-Instruct,KIND,GCS
2.5,8.5,7.33,63.33,Llama-3.1-8B-Instruct,KIND,GCS
3.0,8.5,6.67,65.33,Llama-3.1-8B-Instruct,KIND,GCS
3.5,8.33,6.67,62.67,Llama-3.1-8B-Instruct,KIND,GCS
4.0,8.5,7.17,66.67,Llama-3.1-8B-Instruct,KIND,GCS
5.0,8.5,7.17,65.5,Llama-3.1-8B-Instruct,KIND,GCS
7.0,7.5,6.33,65.5,Llama-3.1-8B-Instruct,KIND,GCS
0.0,6.33,6.5,57.5,Llama-3.1-8B-Instruct,HUMOROUS,GCS
0.5,5.67,7.67,63.33,Llama-3.1-8B-Instruct,HUMOROUS,GCS
1.0,5.67,7.5,63.33,Llama-3.1-8B-Instruct,HUMOROUS,GCS
1.5,6.0,8.17,63.0,Llama-3.1-8B-Instruct,HUMOROUS,GCS
2.0,5.67,7.5,63.33,Llama-3.1-8B-Instruct,HUMOROUS,GCS
2.5,6.17,8.17,61.67,Llama-3.1-8B-Instruct,HUMOROUS,GCS
3.0,6.17,7.67,64.0,Llama-3.1-8B-Instruct,HUMOROUS,GCS
3.5,6.0,7.67,63.5,Llama-3.1-8B-Instruct,HUMOROUS,GCS
4.0,5.83,7.67,62.5,Llama-3.1-8B-Instruct,HUMOROUS,GCS
5.0,5.83,8.17,60.5,Llama-3.1-8B-Instruct,HUMOROUS,GCS
7.0,5.5,8.17,62.5,Llama-3.1-8B-Instruct,HUMOROUS,GCS
0.0,5.5,6.83,64.33,Qwen2.5-7B-Instruct,SAD,GCS
0.5,6.0,6.0,64.17,Qwen2.5-7B-Instruct,SAD,GCS
1.0,5.83,7.17,64.33,Qwen2.5-7B-Instruct,SAD,GCS
1.5,5.33,7.33,63.0,Qwen2.5-7B-Instruct,SAD,GCS
2.0,5.17,7.0,65.33,Qwen2.5-7B-Instruct,SAD,GCS
2.5,5.67,8.0,66.0,Qwen2.5-7B-Instruct,SAD,GCS
3.0,4.33,7.83,66.67,Qwen2.5-7B-Instruct,SAD,GCS
3.5,5.0,6.83,68.33,Qwen2.5-7B-Instruct,SAD,GCS
4.0,4.83,7.67,65.67,Qwen2.5-7B-Instruct,SAD,GCS
5.0,4.17,7.83,66.33,Qwen2.5-7B-Instruct,SAD,GCS
7.0,3.67,7.5,66.0,Qwen2.5-7B-Instruct,SAD,GCS
0.0,2.83,7.33,63.83,Qwen2.5-7B-Instruct,EVIL,GCS
0.5,3.67,6.33,65.67,Qwen2.5-7B-Instruct,EVIL,GCS
1.0,2.67,6.5,64.33,Qwen2.5-7B-Instruct,EVIL,GCS
1.5,3.83,7.17,66.33,Qwen2.5-7B-Instruct,EVIL,GCS
2.0,2.83,7.0,65.17,Qwen2.5-7B-Instruct,EVIL,GCS
2.5,3.67,6.83,67.17,Qwen2.5-7B-Instruct,EVIL,GCS
3.0,2.83,6.83,66.33,Qwen2.5-7B-Instruct,EVIL,GCS
3.5,2.67,6.83,66.0,Qwen2.5-7B-Instruct,EVIL,GCS
4.0,3.33,7.0,67.0,Qwen2.5-7B-Instruct,EVIL,GCS
5.0,2.5,7.67,68.67,Qwen2.5-7B-Instruct,EVIL,GCS
7.0,2.5,7.33,67.83,Qwen2.5-7B-Instruct,EVIL,GCS
0.0,6.33,6.83,64.0,Qwen2.5-7B-Instruct,JOY,GCS
0.5,6.5,6.67,66.67,Qwen2.5-7B-Instruct,JOY,GCS
1.0,6.83,6.83,64.83,Qwen2.5-7B-Instruct,JOY,GCS
1.5,6.83,7.17,67.0,Qwen2.5-7B-Instruct,JOY,GCS
2.0,6.67,7.0,65.17,Qwen2.5-7B-Instruct,JOY,GCS
2.5,6.67,6.5,65.33,Qwen2.5-7B-Instruct,JOY,GCS
3.0,6.33,7.33,67.0,Qwen2.5-7B-Instruct,JOY,GCS
3.5,6.67,7.83,65.17,Qwen2.5-7B-Instruct,JOY,GCS
4.0,6.5,7.67,64.5,Qwen2.5-7B-Instruct,JOY,GCS
5.0,6.17,7.17,65.33,Qwen2.5-7B-Instruct,JOY,GCS
7.0,6.67,7.0,67.67,Qwen2.5-7B-Instruct,JOY,GCS
0.0,8.17,6.83,62.83,Qwen2.5-7B-Instruct,KIND,GCS
0.5,7.67,7.0,65.5,Qwen2.5-7B-Instruct,KIND,GCS
1.0,8.0,7.33,64.33,Qwen2.5-7B-Instruct,KIND,GCS
1.5,7.5,7.17,66.5,Qwen2.5-7B-Instruct,KIND,GCS
2.0,7.5,7.17,65.5,Qwen2.5-7B-Instruct,KIND,GCS
2.5,7.17,7.17,66.67,Qwen2.5-7B-Instruct,KIND,GCS
3.0,7.17,6.5,65.17,Qwen2.5-7B-Instruct,KIND,GCS
3.5,7.67,6.5,66.5,Qwen2.5-7B-Instruct,KIND,GCS
4.0,7.33,6.83,66.0,Qwen2.5-7B-Instruct,KIND,GCS
5.0,6.67,6.33,65.83,Qwen2.5-7B-Instruct,KIND,GCS
7.0,7.67,7.33,64.33,Qwen2.5-7B-Instruct,KIND,GCS
0.0,6.17,6.5,63.33,Qwen2.5-7B-Instruct,HUMOROUS,GCS
0.5,5.33,6.67,60.67,Qwen2.5-7B-Instruct,HUMOROUS,GCS
1.0,5.17,7.0,65.0,Qwen2.5-7B-Instruct,HUMOROUS,GCS
1.5,5.33,5.67,61.33,Qwen2.5-7B-Instruct,HUMOROUS,GCS
2.0,5.0,7.0,64.17,Qwen2.5-7B-Instruct,HUMOROUS,GCS
2.5,5.67,6.33,65.17,Qwen2.5-7B-Instruct,HUMOROUS,GCS
3.0,5.83,8.0,65.67,Qwen2.5-7B-Instruct,HUMOROUS,GCS
3.5,6.0,6.67,64.17,Qwen2.5-7B-Instruct,HUMOROUS,GCS
4.0,5.5,7.5,65.83,Qwen2.5-7B-Instruct,HUMOROUS,GCS
5.0,5.5,6.67,64.33,Qwen2.5-7B-Instruct,HUMOROUS,GCS
7.0,4.83,7.0,65.67,Qwen2.5-7B-Instruct,HUMOROUS,GCS
0.0,6.0,3.0,36.5,google/gemma-2-9b-it,SAD,GCS
0.5,6.67,5.5,47.33,google/gemma-2-9b-it,SAD,GCS
1.0,7.83,5.17,49.33,google/gemma-2-9b-it,SAD,GCS
1.5,7.5,4.67,48.67,google/gemma-2-9b-it,SAD,GCS
2.0,6.67,4.17,42.5,google/gemma-2-9b-it,SAD,GCS
2.5,6.17,5.67,42.5,google/gemma-2-9b-it,SAD,GCS
3.0,7.0,6.67,56.5,google/gemma-2-9b-it,SAD,GCS
3.5,6.0,4.5,40.0,google/gemma-2-9b-it,SAD,GCS
4.0,6.33,6.33,56.67,google/gemma-2-9b-it,SAD,GCS
5.0,6.83,4.5,51.67,google/gemma-2-9b-it,SAD,GCS
7.0,6.33,5.5,50.83,google/gemma-2-9b-it,SAD,GCS
0.0,5.0,3.33,53.67,google/gemma-2-9b-it,EVIL,GCS
0.5,5.67,2.5,46.83,google/gemma-2-9b-it,EVIL,GCS
1.0,5.67,3.67,47.83,google/gemma-2-9b-it,EVIL,GCS
1.5,5.67,5.0,57.5,google/gemma-2-9b-it,EVIL,GCS
2.0,5.83,3.33,53.0,google/gemma-2-9b-it,EVIL,GCS
2.5,6.5,5.0,57.0,google/gemma-2-9b-it,EVIL,GCS
3.0,5.0,5.5,55.5,google/gemma-2-9b-it,EVIL,GCS
3.5,6.5,2.83,49.33,google/gemma-2-9b-it,EVIL,GCS
4.0,5.17,4.17,51.67,google/gemma-2-9b-it,EVIL,GCS
5.0,5.83,4.5,46.0,google/gemma-2-9b-it,EVIL,GCS
7.0,5.5,4.67,55.83,google/gemma-2-9b-it,EVIL,GCS
0.0,7.0,5.83,47.5,google/gemma-2-9b-it,JOY,GCS
0.5,6.0,5.17,47.67,google/gemma-2-9b-it,JOY,GCS
1.0,6.17,5.17,46.67,google/gemma-2-9b-it,JOY,GCS
1.5,5.33,5.0,45.67,google/gemma-2-9b-it,JOY,GCS
2.0,6.5,6.5,43.67,google/gemma-2-9b-it,JOY,GCS
2.5,5.67,5.5,52.83,google/gemma-2-9b-it,JOY,GCS
3.0,6.0,5.0,48.0,google/gemma-2-9b-it,JOY,GCS
3.5,6.33,5.67,48.33,google/gemma-2-9b-it,JOY,GCS
4.0,5.83,6.0,54.5,google/gemma-2-9b-it,JOY,GCS
5.0,6.83,6.5,52.17,google/gemma-2-9b-it,JOY,GCS
7.0,6.17,6.33,50.17,google/gemma-2-9b-it,JOY,GCS
0.0,7.0,5.17,47.67,google/gemma-2-9b-it,KIND,GCS
0.5,7.0,4.67,44.0,google/gemma-2-9b-it,KIND,GCS
1.0,7.67,5.5,51.67,google/gemma-2-9b-it,KIND,GCS
1.5,7.83,5.83,52.67,google/gemma-2-9b-it,KIND,GCS
2.0,7.67,5.67,51.0,google/gemma-2-9b-it,KIND,GCS
2.5,7.67,5.17,52.67,google/gemma-2-9b-it,KIND,GCS
3.0,7.5,4.83,51.5,google/gemma-2-9b-it,KIND,GCS
3.5,7.67,5.5,54.17,google/gemma-2-9b-it,KIND,GCS
4.0,8.17,5.67,56.5,google/gemma-2-9b-it,KIND,GCS
5.0,7.17,5.0,51.33,google/gemma-2-9b-it,KIND,GCS
7.0,7.83,5.83,55.83,google/gemma-2-9b-it,KIND,GCS
0.0,3.5,2.83,30.0,google/gemma-2-9b-it,HUMOROUS,GCS
0.5,5.0,3.5,31.5,google/gemma-2-9b-it,HUMOROUS,GCS
1.0,4.17,2.67,33.5,google/gemma-2-9b-it,HUMOROUS,GCS
1.5,4.5,4.0,35.83,google/gemma-2-9b-it,HUMOROUS,GCS
2.0,5.0,3.83,41.83,google/gemma-2-9b-it,HUMOROUS,GCS
2.5,3.67,2.83,33.67,google/gemma-2-9b-it,HUMOROUS,GCS
3.0,4.5,3.5,24.83,google/gemma-2-9b-it,HUMOROUS,GCS
3.5,4.67,3.67,33.83,google/gemma-2-9b-it,HUMOROUS,GCS
4.0,5.17,4.67,20.67,google/gemma-2-9b-it,HUMOROUS,GCS
5.0,5.67,6.5,38.5,google/gemma-2-9b-it,HUMOROUS,GCS
7.0,5.33,5.33,38.0,google/gemma-2-9b-it,HUMOROUS,GCS
0.0,6.0,8.17,49.5,mistralai/Mistral-7B-Instruct-v0.3,SAD,GCS
0.5,5.83,7.5,48.83,mistralai/Mistral-7B-Instruct-v0.3,SAD,GCS
1.0,6.17,7.67,51.33,mistralai/Mistral-7B-Instruct-v0.3,SAD,GCS
1.5,6.5,7.67,51.83,mistralai/Mistral-7B-Instruct-v0.3,SAD,GCS
2.0,6.17,8.17,51.0,mistralai/Mistral-7B-Instruct-v0.3,SAD,GCS
2.5,5.83,8.0,50.33,mistralai/Mistral-7B-Instruct-v0.3,SAD,GCS
3.0,5.17,6.83,49.33,mistralai/Mistral-7B-Instruct-v0.3,SAD,GCS
3.5,6.67,6.83,49.5,mistralai/Mistral-7B-Instruct-v0.3,SAD,GCS
4.0,5.83,8.0,53.5,mistralai/Mistral-7B-Instruct-v0.3,SAD,GCS
5.0,5.0,7.17,52.5,mistralai/Mistral-7B-Instruct-v0.3,SAD,GCS
7.0,5.0,7.67,52.5,mistralai/Mistral-7B-Instruct-v0.3,SAD,GCS
0.0,3.5,8.33,54.33,mistralai/Mistral-7B-Instruct-v0.3,EVIL,GCS
0.5,3.5,8.0,51.0,mistralai/Mistral-7B-Instruct-v0.3,EVIL,GCS
1.0,2.33,7.33,55.5,mistralai/Mistral-7B-Instruct-v0.3,EVIL,GCS
1.5,2.67,7.5,51.33,mistralai/Mistral-7B-Instruct-v0.3,EVIL,GCS
2.0,2.67,7.67,56.83,mistralai/Mistral-7B-Instruct-v0.3,EVIL,GCS
2.5,2.5,7.83,53.33,mistralai/Mistral-7B-Instruct-v0.3,EVIL,GCS
3.0,3.33,7.0,52.33,mistralai/Mistral-7B-Instruct-v0.3,EVIL,GCS
3.5,2.83,7.67,52.33,mistralai/Mistral-7B-Instruct-v0.3,EVIL,GCS
4.0,3.33,7.33,51.5,mistralai/Mistral-7B-Instruct-v0.3,EVIL,GCS
5.0,3.17,7.17,54.33,mistralai/Mistral-7B-Instruct-v0.3,EVIL,GCS
7.0,2.5,7.33,52.83,mistralai/Mistral-7B-Instruct-v0.3,EVIL,GCS
0.0,6.17,7.5,52.67,mistralai/Mistral-7B-Instruct-v0.3,JOY,GCS
0.5,5.83,7.17,54.5,mistralai/Mistral-7B-Instruct-v0.3,JOY,GCS
1.0,6.17,7.67,55.0,mistralai/Mistral-7B-Instruct-v0.3,JOY,GCS
1.5,6.5,7.83,54.33,mistralai/Mistral-7B-Instruct-v0.3,JOY,GCS
2.0,6.17,8.17,57.0,mistralai/Mistral-7B-Instruct-v0.3,JOY,GCS
2.5,6.33,7.67,56.17,mistralai/Mistral-7B-Instruct-v0.3,JOY,GCS
3.0,6.67,8.5,55.5,mistralai/Mistral-7B-Instruct-v0.3,JOY,GCS
3.5,6.17,7.5,55.33,mistralai/Mistral-7B-Instruct-v0.3,JOY,GCS
4.0,6.5,7.17,55.33,mistralai/Mistral-7B-Instruct-v0.3,JOY,GCS
5.0,6.33,7.67,55.0,mistralai/Mistral-7B-Instruct-v0.3,JOY,GCS
7.0,6.5,7.83,55.67,mistralai/Mistral-7B-Instruct-v0.3,JOY,GCS
0.0,8.0,7.0,51.0,mistralai/Mistral-7B-Instruct-v0.3,KIND,GCS
0.5,8.0,7.67,58.0,mistralai/Mistral-7B-Instruct-v0.3,KIND,GCS
1.0,8.0,6.5,54.67,mistralai/Mistral-7B-Instruct-v0.3,KIND,GCS
1.5,8.17,7.17,51.17,mistralai/Mistral-7B-Instruct-v0.3,KIND,GCS
2.0,8.0,7.17,51.67,mistralai/Mistral-7B-Instruct-v0.3,KIND,GCS
2.5,7.17,7.33,54.0,mistralai/Mistral-7B-Instruct-v0.3,KIND,GCS
3.0,8.17,7.33,54.0,mistralai/Mistral-7B-Instruct-v0.3,KIND,GCS
3.5,8.0,7.17,55.17,mistralai/Mistral-7B-Instruct-v0.3,KIND,GCS
4.0,7.33,7.33,50.83,mistralai/Mistral-7B-Instruct-v0.3,KIND,GCS
5.0,7.83,6.5,50.5,mistralai/Mistral-7B-Instruct-v0.3,KIND,GCS
7.0,8.17,7.67,54.17,mistralai/Mistral-7B-Instruct-v0.3,KIND,GCS
0.0,5.83,7.33,50.0,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,GCS
0.5,5.67,7.67,45.5,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,GCS
1.0,6.5,7.83,45.0,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,GCS
1.5,6.17,8.0,47.5,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,GCS
2.0,5.5,7.0,48.0,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,GCS
2.5,6.0,6.83,44.83,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,GCS
3.0,6.0,8.0,48.17,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,GCS
3.5,5.83,7.83,51.33,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,GCS
4.0,5.67,7.5,50.33,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,GCS
5.0,5.33,8.33,54.33,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,GCS
7.0,5.5,8.33,53.5,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,GCS
0.0,7.83,5.83,48.17,microsoft/Phi-3.5-mini-instruct,SAD,GCS
0.5,8.17,6.33,45.67,microsoft/Phi-3.5-mini-instruct,SAD,GCS
1.0,7.67,5.5,50.17,microsoft/Phi-3.5-mini-instruct,SAD,GCS
1.5,8.5,5.83,42.5,microsoft/Phi-3.5-mini-instruct,SAD,GCS
2.0,8.0,6.33,47.5,microsoft/Phi-3.5-mini-instruct,SAD,GCS
2.5,7.83,6.17,46.0,microsoft/Phi-3.5-mini-instruct,SAD,GCS
3.0,8.0,6.0,50.17,microsoft/Phi-3.5-mini-instruct,SAD,GCS
3.5,8.33,7.0,47.33,microsoft/Phi-3.5-mini-instruct,SAD,GCS
4.0,8.0,6.83,49.0,microsoft/Phi-3.5-mini-instruct,SAD,GCS
5.0,8.17,7.0,47.5,microsoft/Phi-3.5-mini-instruct,SAD,GCS
7.0,7.83,6.5,49.83,microsoft/Phi-3.5-mini-instruct,SAD,GCS
0.0,6.17,4.67,48.5,microsoft/Phi-3.5-mini-instruct,EVIL,GCS
0.5,7.0,5.33,52.17,microsoft/Phi-3.5-mini-instruct,EVIL,GCS
1.0,7.0,6.33,53.5,microsoft/Phi-3.5-mini-instruct,EVIL,GCS
1.5,6.0,5.67,49.5,microsoft/Phi-3.5-mini-instruct,EVIL,GCS
2.0,6.5,5.5,50.0,microsoft/Phi-3.5-mini-instruct,EVIL,GCS
2.5,7.0,5.67,50.0,microsoft/Phi-3.5-mini-instruct,EVIL,GCS
3.0,6.17,6.33,51.17,microsoft/Phi-3.5-mini-instruct,EVIL,GCS
3.5,6.5,5.67,51.0,microsoft/Phi-3.5-mini-instruct,EVIL,GCS
4.0,6.0,6.0,53.0,microsoft/Phi-3.5-mini-instruct,EVIL,GCS
5.0,6.5,5.5,53.83,microsoft/Phi-3.5-mini-instruct,EVIL,GCS
7.0,5.5,6.5,49.67,microsoft/Phi-3.5-mini-instruct,EVIL,GCS
0.0,7.17,7.33,46.17,microsoft/Phi-3.5-mini-instruct,JOY,GCS
0.5,7.5,6.67,47.83,microsoft/Phi-3.5-mini-instruct,JOY,GCS
1.0,5.33,5.33,21.5,microsoft/Phi-3.5-mini-instruct,JOY,GCS
1.5,5.5,5.67,36.5,microsoft/Phi-3.5-mini-instruct,JOY,GCS
2.0,6.5,6.17,29.0,microsoft/Phi-3.5-mini-instruct,JOY,GCS
2.5,7.17,5.83,48.0,microsoft/Phi-3.5-mini-instruct,JOY,GCS
3.0,6.17,6.17,43.17,microsoft/Phi-3.5-mini-instruct,JOY,GCS
3.5,7.0,6.0,47.5,microsoft/Phi-3.5-mini-instruct,JOY,GCS
4.0,7.33,7.17,38.83,microsoft/Phi-3.5-mini-instruct,JOY,GCS
5.0,7.0,6.33,48.67,microsoft/Phi-3.5-mini-instruct,JOY,GCS
7.0,7.0,5.33,45.83,microsoft/Phi-3.5-mini-instruct,JOY,GCS
0.0,8.33,6.67,47.33,microsoft/Phi-3.5-mini-instruct,KIND,GCS
0.5,8.0,6.17,52.17,microsoft/Phi-3.5-mini-instruct,KIND,GCS
1.0,7.5,6.5,47.67,microsoft/Phi-3.5-mini-instruct,KIND,GCS
1.5,8.17,6.0,49.67,microsoft/Phi-3.5-mini-instruct,KIND,GCS
2.0,8.5,7.17,54.17,microsoft/Phi-3.5-mini-instruct,KIND,GCS
2.5,8.17,6.0,53.17,microsoft/Phi-3.5-mini-instruct,KIND,GCS
3.0,8.17,6.67,50.67,microsoft/Phi-3.5-mini-instruct,KIND,GCS
3.5,8.5,6.67,53.67,microsoft/Phi-3.5-mini-instruct,KIND,GCS
4.0,8.0,6.0,49.17,microsoft/Phi-3.5-mini-instruct,KIND,GCS
5.0,8.17,7.33,52.33,microsoft/Phi-3.5-mini-instruct,KIND,GCS
7.0,8.0,6.83,53.0,microsoft/Phi-3.5-mini-instruct,KIND,GCS
0.0,5.33,4.83,40.83,microsoft/Phi-3.5-mini-instruct,HUMOROUS,GCS
0.5,6.67,4.83,38.83,microsoft/Phi-3.5-mini-instruct,HUMOROUS,GCS
1.0,6.33,5.83,44.33,microsoft/Phi-3.5-mini-instruct,HUMOROUS,GCS
1.5,5.83,5.0,42.5,microsoft/Phi-3.5-mini-instruct,HUMOROUS,GCS
2.0,6.0,5.33,46.5,microsoft/Phi-3.5-mini-instruct,HUMOROUS,GCS
2.5,6.0,6.83,43.33,microsoft/Phi-3.5-mini-instruct,HUMOROUS,GCS
3.0,5.33,6.0,45.17,microsoft/Phi-3.5-mini-instruct,HUMOROUS,GCS
3.5,6.17,5.67,47.33,microsoft/Phi-3.5-mini-instruct,HUMOROUS,GCS
4.0,6.33,6.17,48.0,microsoft/Phi-3.5-mini-instruct,HUMOROUS,GCS
5.0,6.0,6.67,45.67,microsoft/Phi-3.5-mini-instruct,HUMOROUS,GCS
7.0,5.33,6.67,49.17,microsoft/Phi-3.5-mini-instruct,HUMOROUS,GCS
0.0,3.83,7.33,65.17,Llama-3.1-8B-Instruct,SAD,KCS
0.1,4.67,7.67,63.33,Llama-3.1-8B-Instruct,SAD,KCS
0.2,5.0,8.0,64.17,Llama-3.1-8B-Instruct,SAD,KCS
0.3,5.67,7.75,66.33,Llama-3.1-8B-Instruct,SAD,KCS
0.35,6.17,6.75,62.75,Llama-3.1-8B-Instruct,SAD,KCS
0.4,6.42,6.5,65.42,Llama-3.1-8B-Instruct,SAD,KCS
0.45,7.17,6.25,60.92,Llama-3.1-8B-Instruct,SAD,KCS
0.5,8.33,6.17,64.42,Llama-3.1-8B-Instruct,SAD,KCS
0.55,8.25,5.92,64.33,Llama-3.1-8B-Instruct,SAD,KCS
0.6,8.75,5.92,62.5,Llama-3.1-8B-Instruct,SAD,KCS
0.7,8.17,4.83,59.0,Llama-3.1-8B-Instruct,SAD,KCS
0.8,9.17,3.83,60.83,Llama-3.1-8B-Instruct,SAD,KCS
0.9,8.83,4.17,67.33,Llama-3.1-8B-Instruct,SAD,KCS
1.0,8.33,2.5,74.33,Llama-3.1-8B-Instruct,SAD,KCS
1.2,5.83,1.83,61.83,Llama-3.1-8B-Instruct,SAD,KCS
0.0,2.17,7.83,65.67,Llama-3.1-8B-Instruct,EVIL,KCS
0.1,3.0,8.5,64.83,Llama-3.1-8B-Instruct,EVIL,KCS
0.2,4.0,6.17,55.67,Llama-3.1-8B-Instruct,EVIL,KCS
0.3,4.5,6.0,57.0,Llama-3.1-8B-Instruct,EVIL,KCS
0.35,4.0,6.17,59.0,Llama-3.1-8B-Instruct,EVIL,KCS
0.4,4.83,4.83,55.0,Llama-3.1-8B-Instruct,EVIL,KCS
0.45,4.83,5.0,61.67,Llama-3.1-8B-Instruct,EVIL,KCS
0.5,5.67,4.5,53.33,Llama-3.1-8B-Instruct,EVIL,KCS
0.55,6.67,3.83,61.17,Llama-3.1-8B-Instruct,EVIL,KCS
0.6,7.17,3.83,57.0,Llama-3.1-8B-Instruct,EVIL,KCS
0.7,5.83,2.5,49.17,Llama-3.1-8B-Instruct,EVIL,KCS
0.8,6.17,2.17,58.83,Llama-3.1-8B-Instruct,EVIL,KCS
0.9,4.67,1.5,54.67,Llama-3.1-8B-Instruct,EVIL,KCS
1.0,4.67,2.17,27.17,Llama-3.1-8B-Instruct,EVIL,KCS
1.2,5.0,1.0,10.17,Llama-3.1-8B-Instruct,EVIL,KCS
0.0,6.83,8.0,68.0,Llama-3.1-8B-Instruct,JOY,KCS
0.1,6.5,7.67,63.33,Llama-3.1-8B-Instruct,JOY,KCS
0.2,7.17,8.17,62.0,Llama-3.1-8B-Instruct,JOY,KCS
0.3,7.5,7.67,64.33,Llama-3.1-8B-Instruct,JOY,KCS
0.35,7.83,7.83,63.5,Llama-3.1-8B-Instruct,JOY,KCS
0.4,8.17,7.17,62.83,Llama-3.1-8B-Instruct,JOY,KCS
0.45,8.33,7.5,64.17,Llama-3.1-8B-Instruct,JOY,KCS
0.5,8.17,7.17,65.83,Llama-3.1-8B-Instruct,JOY,KCS
0.55,8.17,6.83,64.67,Llama-3.1-8B-Instruct,JOY,KCS
0.6,8.33,7.0,64.0,Llama-3.1-8B-Instruct,JOY,KCS
0.7,7.83,5.83,64.0,Llama-3.1-8B-Instruct,JOY,KCS
0.8,8.0,5.33,66.33,Llama-3.1-8B-Instruct,JOY,KCS
0.9,8.17,5.67,64.5,Llama-3.1-8B-Instruct,JOY,KCS
1.0,7.67,4.67,64.17,Llama-3.1-8B-Instruct,JOY,KCS
1.2,7.17,4.33,63.5,Llama-3.1-8B-Instruct,JOY,KCS
0.0,7.0,8.0,64.83,Llama-3.1-8B-Instruct,KIND,KCS
0.1,7.33,7.5,68.33,Llama-3.1-8B-Instruct,KIND,KCS
0.2,7.5,7.83,65.5,Llama-3.1-8B-Instruct,KIND,KCS
0.3,9.0,8.0,65.67,Llama-3.1-8B-Instruct,KIND,KCS
0.35,8.33,7.0,67.83,Llama-3.1-8B-Instruct,KIND,KCS
0.4,8.67,8.0,67.5,Llama-3.1-8B-Instruct,KIND,KCS
0.45,8.17,5.67,63.33,Llama-3.1-8B-Instruct,KIND,KCS
0.5,7.17,6.83,68.33,Llama-3.1-8B-Instruct,KIND,KCS
0.55,7.83,5.67,66.17,Llama-3.1-8B-Instruct,KIND,KCS
0.6,7.5,4.83,67.83,Llama-3.1-8B-Instruct,KIND,KCS
0.7,6.0,4.33,61.0,Llama-3.1-8B-Instruct,KIND,KCS
0.8,5.67,2.67,66.33,Llama-3.1-8B-Instruct,KIND,KCS
0.9,4.83,2.5,72.0,Llama-3.1-8B-Instruct,KIND,KCS
1.0,5.33,2.5,75.67,Llama-3.1-8B-Instruct,KIND,KCS
1.2,4.17,2.0,79.67,Llama-3.1-8B-Instruct,KIND,KCS
0.0,5.0,8.83,65.67,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.1,5.0,8.67,60.5,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.2,5.17,8.17,58.5,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.3,6.0,8.5,61.83,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.35,6.83,7.67,50.0,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.4,6.67,8.33,56.33,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.45,6.83,7.67,45.17,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.5,6.5,6.0,47.67,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.55,6.17,4.83,48.33,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.6,6.67,5.0,38.33,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.7,7.0,5.33,39.0,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.8,5.5,3.33,46.0,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.9,3.67,2.33,34.67,Llama-3.1-8B-Instruct,HUMOROUS,KCS
1.0,3.33,2.17,27.67,Llama-3.1-8B-Instruct,HUMOROUS,KCS
1.2,1.67,1.67,15.33,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.0,2.83,7.5,66.67,Qwen2.5-7B-Instruct,SAD,KCS
0.1,2.33,7.83,65.0,Qwen2.5-7B-Instruct,SAD,KCS
0.2,2.33,7.33,67.83,Qwen2.5-7B-Instruct,SAD,KCS
0.3,3.5,7.5,65.33,Qwen2.5-7B-Instruct,SAD,KCS
0.35,3.17,7.5,66.83,Qwen2.5-7B-Instruct,SAD,KCS
0.4,5.5,7.33,67.0,Qwen2.5-7B-Instruct,SAD,KCS
0.45,7.83,7.0,66.33,Qwen2.5-7B-Instruct,SAD,KCS
0.5,6.83,7.0,61.5,Qwen2.5-7B-Instruct,SAD,KCS
0.55,6.83,7.0,66.67,Qwen2.5-7B-Instruct,SAD,KCS
0.6,9.0,6.5,64.83,Qwen2.5-7B-Instruct,SAD,KCS
0.7,9.5,6.33,62.33,Qwen2.5-7B-Instruct,SAD,KCS
0.8,9.67,6.0,62.67,Qwen2.5-7B-Instruct,SAD,KCS
0.9,9.5,5.67,63.5,Qwen2.5-7B-Instruct,SAD,KCS
1.0,9.17,4.5,64.67,Qwen2.5-7B-Instruct,SAD,KCS
1.2,9.17,2.17,71.0,Qwen2.5-7B-Instruct,SAD,KCS
0.0,2.0,9.0,64.5,Qwen2.5-7B-Instruct,EVIL,KCS
